		
	### Armor ###	
Row ID		Row Name
01000	HD_M_0	HD
01100	BD_M_2	BD
01200	AM_M_11	AM
01300	LG_M_4	LG
05000	HD_M_9000	Travel Hairstyle
10000	HD_M_0	Head
10100	BD_M_0	Body
10200	AM_M_0	Arms
10300	LG_M_0	Legs
40000	HD_M_1010	Iron Helmet
40100	BD_M_1010	Scale Armor
40200	AM_M_1010	Iron Gauntlets
40300	LG_M_1010	Leather Trousers
50000	HD_M_1840	Kaiden Helm
50100	BD_M_1840	Kaiden Armor
50200	AM_M_1840	Kaiden Gauntlets
50300	LG_M_1840	Kaiden Trousers
60000	HD_M_1100	Drake Knight Helm
60100	BD_M_1100	Drake Knight Armor
60200	AM_M_1100	Drake Knight Gauntlets
60300	LG_M_1100	Drake Knight Greaves
61000	HD_M_1101	Drake Knight Helm (Altered)
61100	BD_M_1101	Drake Knight Armor (Altered)
80000	HD_M_1120	Scaled Helm
80100	BD_M_1120	Scaled Armor
80200	AM_M_1120	Scaled Gauntlets
80300	LG_M_1120	Scaled Greaves
81100	BD_M_1121	Scaled Armor (Altered)
90000	HD_M_1130	Perfumer Hood
90100	BD_M_1130	Perfumer Robe
90200	AM_M_1130	Perfumer Gloves
90300	LG_M_1130	Perfumer Sarong
91100	BD_M_1131	Perfumer Robe (Altered)
100000	HD_M_1140	Traveler's Hat
100100	BD_M_1140	Perfumer's Traveling Garb
100200	AM_M_1140	Traveler's Gloves
100300	LG_M_1140	Traveler's Slops
101100	BD_M_1141	Perfumer's Traveling Garb (Altered)
120000	HD_M_1160	Alberich's Pointed Hat
120100	BD_M_1160	Alberich's Robe
120200	AM_M_1160	Alberich's Bracers
120300	LG_M_1160	Alberich's Trousers
121000	HD_M_1161	Alberich's Pointed Hat (Altered)
121100	BD_M_1161	Alberich's Robe (Altered)
130000	HD_M_1170	Spellblade's Pointed Hat
130100	BD_M_1170	Spellblade's Traveling Attire
130200	AM_M_1170	Spellblade's Gloves
130300	LG_M_1170	Spellblade's Trousers
131100	BD_M_1171	Spellblade's Traveling Attire (Altered)
140000	HD_M_1180	Bull-Goat Helm
140100	BD_M_1180	Bull-Goat Armor
140200	AM_M_1180	Bull-Goat Gauntlets
140300	LG_M_1180	Bull-Goat Greaves
150000	HD_M_1190	Iron Kasa
150100	BD_M_1190	Ronin's Armor
150200	AM_M_1190	Ronin's Gauntlets
150300	LG_M_1190	Ronin's Greaves
151100	BD_M_1191	Ronin's Armor (Altered)
160000	HD_M_1200	Guilty Hood
160100	BD_M_1200	Cloth Garb
160300	LG_M_1200	Cloth Trousers
170000	HD_M_1600	Black Wolf Mask
170100	BD_M_1600	Blaidd's Armor
170200	AM_M_1600	Blaidd's Gauntlets
170300	LG_M_1600	Blaidd's Greaves
171100	BD_M_1601	Blaidd's Armor (Altered)
180000	HD_M_1610	Black Knife Hood
180100	BD_M_1610	Black Knife Armor
180200	AM_M_1610	Black Knife Gauntlets
180300	LG_M_1610	Black Knife Greaves
181100	BD_M_1611	Black Knife Armor (Altered)
190000	HD_M_1640	Exile Hood
190100	BD_M_1640	Exile Armor
190200	AM_M_1640	Exile Gauntlets
190300	LG_M_1640	Exile Greaves
200000	HD_M_1650	Banished Knight Helm
200100	BD_M_1650	Banished Knight Armor
200200	AM_M_1650	Banished Knight Gauntlets
200300	LG_M_1650	Banished Knight Greaves
201000	HD_M_1651	Banished Knight Helm (Altered)
201100	BD_M_1651	Banished Knight Armor (Altered)
202100	BD_M_1652	
