ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
600000901,Sacred Relic Sword,0,901,1,0,[0|0],300310901,0,70,0,12,0,[0|0]
600000905,Sacred Relic Sword,0,905,1,1,[0|0],4000,0,70,0,12,0,[0|0]
900000350,Axe of Godrick,0,350,1,0,[0|0],301504900,0,30,0,12,0,[0|0]
900000355,Axe of Godrick,0,355,1,1,[0|0],2225,0,0,0,12,0,[0|0]
900000356,Axe of Godrick,0,356,1,1,[0|0],2226,0,0,0,12,0,[0|0]
900000357,Axe of Godrick,0,357,1,1,[0|0],2227,0,0,0,12,0,[0|0]
900000358,Axe of Godrick,0,358,1,1,[0|0],2228,0,0,0,12,0,[0|0]
900000360,Axe of Godrick,0,360,1,0,[0|0],301504910,0,30,0,12,0,[0|0]
900000365,Axe of Godrick,0,365,1,1,[0|0],2229,0,0,0,12,0,[0|0]
900000366,Axe of Godrick,0,366,1,1,[0|0],2230,0,0,0,12,0,[0|0]
900000367,Axe of Godrick,0,367,1,1,[0|0],2231,0,0,0,12,0,[0|0]
900000368,Axe of Godrick,0,368,1,1,[0|0],2232,0,0,0,12,0,[0|0]
900000370,Axe of Godrick,0,370,1,0,[0|0],301504920,0,30,0,12,0,[0|0]
900000375,Axe of Godrick,0,375,1,1,[0|0],2233,0,0,0,12,0,[0|0]
900000376,Axe of Godrick,0,376,1,1,[0|0],2234,0,0,0,12,0,[0|0]
900000377,Axe of Godrick,0,377,1,1,[0|0],2235,0,0,0,12,0,[0|0]
900000378,Axe of Godrick,0,378,1,1,[0|0],2236,0,0,0,12,0,[0|0]
900000380,Axe of Godrick,0,380,1,0,[0|0],301504930,0,30,0,12,0,[0|0]
900000385,Axe of Godrick,0,385,1,0,[0|0],301504935,0,30,0,12,0,[0|0]
900000390,Axe of Godrick,0,380,1,0,[0|0],301504940,0,30,0,12,0,[0|0]
