Unique SpEffects found in selection: 
6202004
6202054
6202005
6210175
31
1812
1810
6202006
6202007
133
6202216
146
174
173
30
51
41
40
6998
6215020
6202040
100000
100130
138
6202009
1682
1680
134
100420
100285
6992
412
6202027
100150
6214007
6202010
132
6216110
6216010
98
89
140
145
32
100400
141
39
142
143
100300
8001
150
373
370
100001
100002
100007
100170
6217010
6202002
6202017
136
6216000
SpEffect found in TAE: 2000,SpEffect found in Animation: 30,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 30,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 30,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 110,SpEffect from Event Type: 67,SpEffect ID: 6210175
SpEffect found in TAE: 2000,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 120,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19000,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19001,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202004
SpEffect found in TAE: 2000,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202054
SpEffect found in TAE: 2000,SpEffect found in Animation: 19004,SpEffect from Event Type: 66,SpEffect ID: 6202005
SpEffect found in TAE: 2000,SpEffect found in Animation: 19010,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19010,SpEffect from Event Type: 67,SpEffect ID: 6210175
SpEffect found in TAE: 2000,SpEffect found in Animation: 19011,SpEffect from Event Type: 67,SpEffect ID: 6210175
SpEffect found in TAE: 2000,SpEffect found in Animation: 19014,SpEffect from Event Type: 66,SpEffect ID: 31
SpEffect found in TAE: 2000,SpEffect found in Animation: 19014,SpEffect from Event Type: 67,SpEffect ID: 6210175
