ID,spEffectId4
12,6202066
13,6202065
14,6202065
15,6202065
16,6202065
17,6202065
18,6202066
20,-1
50,-1
70,-1
900,6202065
901,6202065
3030,6202066
3031,6202066
3032,6202066
3033,6202066
3040,6202065
3041,6202065
3042,6202065
3043,6202065
3050,6202065
3051,6202065
3052,6202065
3053,6202065
3060,6202065
3061,6202065
3062,6202065
3130,6202066
3131,6202066
3132,6202066
3133,6202066
3140,6202065
3141,6202065
3142,6202065
3143,6202065
3150,6202065
3151,6202065
3152,6202065
3153,6202065
3160,6202065
3161,6202065
3162,6202065
3200,6202066
3201,6202066
3211,6202065
3212,6202065
3330,6202066
3331,6202066
3332,6202066
3333,6202066
3340,6202065
3341,6202065
3342,6202065
3343,6202065
3430,6202066
3431,6202066
3432,6202066
3433,6202066
3440,6202065
3441,6202065
3442,6202065
3443,6202065
5100,6202065
7000,6202065
9910,6202065
9920,6202066
100100,6202065
100101,6202066
100202,6202066
100203,6202066
100900,6202066
100910,6202065
100915,6202065
101000,-1
101100,-1
101110,6202066
102001,-1
102002,-1
102120,-1
103000,-1
104000,6202066
120100,6202065
120101,6202065
120105,6202065
120110,6202065
120111,6202065
120115,6202065
120120,6202065
120121,6202065
120125,6202065
120150,6202065
120151,6202065
120155,6202065
120160,6202065
120161,6202065
120165,6202065
120170,6202065
120171,6202065
120175,6202065
149400,6202065
149500,6202065
200100,6202065
200105,6202065
200200,6202065
200300,6202065
240000,6202065
2010100,6202065
2010105,6202065
2010110,6202065
2010115,6202065
2010120,6202066
2010125,6202066
2010131,6202065
2010136,6202065
2010140,6202065
2010145,6202065
2010191,6202066
2010196,6202066
2010200,6202065
2010205,6202065
2010230,-1
2010235,-1
2010240,6202065
2010270,6202065
2010271,6202065
2010300,-1
2010301,6202065
2010305,-1
2010306,6202065
2010310,6202065
2010315,6202065
2010330,6202065
2010340,6202065
2030140,6202065
2031130,6202066
2031150,6202065
2031155,6202066
2031160,6202065
2031176,-1
2031180,6202066
2031181,-1
2031230,-1
2031240,6202066
2031260,-1
2031261,-1
2031262,-1
2031800,6202065
2040100,6202065
2040110,-1
2040120,-1
2040130,-1
2040140,6202066
2040150,6202065
2041100,-1
2041130,6202065
2041140,6202065
2100100,6202066
2100110,-1
2100111,6202065
2100130,-1
2100140,-1
2100150,6202066
2100172,6202066
2100173,6202066
2100180,-1
2100190,-1
2100210,-1
2100220,-1
2100221,6202066
2100230,-1
2100231,-1
2100240,6202065
2100241,6202065
2100280,6202066
2100290,6202066
2100300,6202066
2100301,6202066
2100350,-1
2100352,6202066
2110100,-1
2110130,6202065
2110150,6202066
2110160,6202065
2110165,6202065
