ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
600000100,Ruins Greatsword [Repulsion],0,100,1,1,[0|0],90000000,0,10,0,12,0,[0|0]
600000101,Ruins Greatsword [Pull],0,101,1,1,[0|0],90000001,0,10,0,12,0,[0|0]
600000102,Ruins Greatsword [Pull],0,102,1,1,[0|0],90000002,0,0,0,12,0,[0|0]
600000103,Ruins Greatsword [Pull],0,103,1,1,[0|0],90000003,0,0,0,12,0,[0|0]
600000104,Ruins Greatsword [Repulsion EX],0,104,1,1,[0|0],90000004,0,15,0,12,0,[0|0]
600000105,Ruins Greatsword [1Pillar],0,105,1,1,[0|0],90000005,0,15,0,12,0,[0|0]
600000106,Ruins Greatsword [DiagNebula],0,106,1,1,[0|0],90000007,0,10,0,12,0,[0|0]
600000107,Ruins Greatsword [1Wave],0,107,1,1,[0|0],90000010,0,15,0,12,0,[0|0]
600000108,Ruins Greatsword [Nebula],0,108,1,1,[0|0],90000011,0,10,0,12,0,[0|0]
600000109,Ruins Greatsword [2Wave],0,109,1,1,[0|0],90000012,0,20,0,12,0,[0|0]
600000110,Ruins Greatsword [EpicAura],0,110,1,1,[0|0],4680260,0,0,0,12,0,[0|0]
600000111,Ruins Greatsword [3Pillar EX],0,111,1,1,[0|0],90000013,0,30,0,12,0,[0|0]
600000112,Ruins Greatsword [Pull EX],0,112,1,1,[0|0],90000014,0,20,0,12,0,[0|0]
600000113,Ruins Greatsword [Pull EX],0,113,1,1,[0|0],90000015,0,0,0,12,0,[0|0]
600000114,Ruins Greatsword [Pull EX],0,114,1,1,[0|0],90000016,0,0,0,12,0,[0|0]
600000115,Ruins Greatsword [Pull EX],0,115,1,1,[0|0],90000017,0,0,0,12,0,[0|0]
600000116,Ruins Greatsword [Pull EX],0,116,1,1,[0|0],90000018,0,0,0,12,0,[0|0]
600000117,Ruins Greatsword [Pull EX],0,117,1,1,[0|0],90000019,0,0,0,12,0,[0|0]
600000118,Ruins Greatsword [Gravity Slam],0,118,1,1,[0|0],90000020,0,25,0,12,0,[0|0]
600000119,Ruins Greatsword [1BossWaveSFX],0,119,1,1,[0|0],90000021,0,5,0,12,0,[0|0]
600000120,Ruins Greatsword [2BossWaveSFX],0,120,1,1,[0|0],90000022,0,5,0,12,0,[0|0]
600000121,Ruins Greatsword [3BossWaveSFX],0,121,1,1,[0|0],90000023,0,5,0,12,0,[0|0]
600000122,Ruins Greatsword [4BossWaveSFX],0,122,1,1,[0|0],90000024,0,5,0,12,0,[0|0]
600000123,Ruins Greatsword [EpicAura EX],0,123,1,1,[0|0],90000025,0,0,0,12,0,[0|0]
600000124,Ruins Greatsword [BossWaveAtk2],0,124,1,1,[0|0],90000026,0,5,0,12,0,[0|0]
600000125,Ruins Greatsword [BossWaveAtk3],0,125,1,1,[0|0],90000027,0,5,0,12,0,[0|0]
600000126,Ruins Greatsword [Collapsing Stars],0,126,1,1,[0|0],90000028,0,15,0,12,0,[0|0]
600000127,Ruins Greatsword [Gravity Bolt],0,127,1,1,[0|0],90000038,0,15,0,12,0,[0|0]
600000128,Ruins Greatsword [Gravity Bolt],0,128,1,1,[0|0],90000031,0,0,0,12,0,[0|0]
600000129,Ruins Greatsword [Bastard's Stars],0,129,1,1,[0|0],90000032,0,5,0,12,0,[0|0]
600000130,Ruins Greatsword [Bastard's Stars],0,130,1,1,[0|0],90000036,0,5,0,12,0,[0|0]
600000131,Ruins Greatsword [Weak Gravity Slam],0,131,1,1,[0|0],90000037,0,15,0,12,0,[0|0]
600000132,Ruins Greatsword [Void Beam],0,132,1,1,[0|0],90000043,0,15,0,12,0,[0|0]
600000133,Ruins Greatsword [VertNebula],0,133,1,1,[0|0],90000044,0,15,0,12,0,[0|0]
600000134,Ruins Greatsword [1PillarNoFlip],1,134,1,1,[0|0],90000045,0,15,0,12,0,[0|0]
600000135,Ruins Greatsword [Gravity Wave],1,135,1,1,[0|0],90000047,0,15,0,12,0,[0|0]
600000136,Ruins Greatsword [Devastation of the Naturalborn],1,136,1,1,[0|0],90000048,0,30,0,12,0,[0|0]
600000137,Ruins Greatsword [DevastationLight],1,137,1,1,[0|0],90000049,0,5,0,12,0,[0|0]
600000138,Ruins Greatsword [DevastationLight],1,138,1,1,[0|0],90000051,0,5,0,12,0,[0|0]
600000139,Ruins Greatsword [DevastationHeavy],1,139,1,1,[0|0],90000076,0,50,0,12,0,[0|0]
600000140,Ruins Greatsword [PillarRandom],1,140,1,1,[0|0],90000079,0,1,0,12,0,[0|0]
600000238,Sword of Night and Flame [MagicStunJR2],0,100,1,1,[0|0],90000092,0,15,0,12,0,[0|0]
600000239,Sword of Night and Flame [MoonsplosionJR2],0,100,1,1,[0|0],90000091,0,15,0,12,0,[0|0]
600000240,Sword of Night and Flame [Fireball],0,100,1,1,[0|0],90000090,0,15,0,12,0,[0|0]
600000241,Sword of Night and Flame [Star Blast],0,100,1,1,[0|0],90000084,0,15,0,12,0,[0|0]
600000242,Sword of Night and Flame [Flame Pillar],0,101,1,1,[0|0],90000085,0,15,0,12,0,[0|0]
600000243,Sword of Night and Flame [Magic Wave],0,102,1,1,[0|0],90000086,0,15,0,12,0,[0|0]
600000244,Sword of Night and Flame [Ember],0,103,1,1,[0|0],90000087,0,8,0,12,0,[0|0]
600000245,Sword of Night and Flame [Flame Wave],0,132,1,1,[0|0],90000088,0,15,0,12,0,[0|0]
600000250,Sword of Night and Flame [Magic Stun],0,109,1,1,[0|0],90000095,0,2,0,12,0,[0|0]
600000251,Sword of Night and Flame [MagVertSlash],0,110,1,1,[0|0],90000096,0,2,0,12,0,[0|0]
600000252,Sword of Night and Flame [FlmDiagSlash],0,111,1,1,[0|0],90000098,0,2,0,12,0,[0|0]
600000253,Sword of Night and Flame [FlmDiagSlash2],0,112,1,1,[0|0],90000099,0,2,0,12,0,[0|0]
600000254,Sword of Night and Flame [Firestorm],0,113,1,1,[0|0],90000101,0,0,0,12,0,[0|0]
600000255,Sword of Night and Flame [MagHorzSlash3],0,114,1,1,[0|0],90000106,0,5,0,12,0,[0|0]
600000256,Sword of Night and Flame [Flame Wave EX],0,115,1,1,[0|0],90000108,0,5,0,12,0,[0|0]
600000257,Sword of Night and Flame [Flame Trail],0,116,1,1,[0|0],90000109,0,0,0,12,0,[0|0]
600000258,Sword of Night and Flame [FlmDiagSlashEX],0,117,1,1,[0|0],90000110,0,10,0,12,0,[0|0]
600000259,Sword of Night and Flame [MagArrow],0,118,1,1,[0|0],90000112,0,10,0,12,0,[0|0]
600000260,Sword of Night and Flame [Moonsplosion],0,119,1,1,[0|0],90000114,0,10,0,12,0,[0|0]
600000261,Sword of Night and Flame [Star Blast Random],0,120,1,1,[0|0],90000115,0,0,0,12,0,[0|0]
600000262,Sword of Night and Flame [InvMagAttk],0,121,1,1,[0|0],90000120,0,0,0,12,0,[0|0]
600000263,Sword of Night and Flame [Firesplosion],0,122,1,1,[0|0],90000122,0,10,0,12,0,[0|0]
600000264,Sword of Night and Flame [Fireball Random],0,123,1,1,[0|0],90000123,0,0,0,12,0,[0|0]
600000265,Sword of Night and Flame [InvFireAttk],0,124,1,1,[0|0],90000128,0,0,0,12,0,[0|0]
600000266,Sword of Night and Flame [FlmVertSlash],0,125,1,1,[0|0],90000131,0,0,0,12,0,[0|0]
600000267,Sword of Night and Flame [Firesplosion2],0,126,1,1,[0|0],90000132,0,10,0,12,0,[0|0]
600000268,Sword of Night and Flame [Moonsplosion2],0,127,1,1,[0|0],90000133,0,10,0,12,0,[0|0]
600000269,Sword of Night and Flame [Sun],0,128,1,1,[0|0],90000134,0,0,0,12,0,[0|0]
600000270,Sword of Night and Flame [Moon],0,129,1,1,[0|0],90000135,0,0,0,12,0,[0|0]
