ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
600000100,Ruins Greatsword [Repulsion],0,100,1,1,[0|0],90000000,0,10,0,12,0,[0|0]
600000101,Ruins Greatsword [Pull],0,101,1,1,[0|0],90000001,0,10,0,12,0,[0|0]
600000102,Ruins Greatsword [Pull],0,102,1,1,[0|0],90000002,0,0,0,12,0,[0|0]
600000103,Ruins Greatsword [Pull],0,103,1,1,[0|0],90000003,0,0,0,12,0,[0|0]
600000104,Ruins Greatsword [Repulsion EX],0,104,1,1,[0|0],90000004,0,15,0,12,0,[0|0]
600000105,Ruins Greatsword [1Pillar],0,105,1,1,[0|0],90000005,0,15,0,12,0,[0|0]
600000106,Ruins Greatsword [DiagNebula],0,106,1,1,[0|0],90000007,0,10,0,12,0,[0|0]
600000107,Ruins Greatsword [1Wave],0,107,1,1,[0|0],90000010,0,15,0,12,0,[0|0]
600000108,Ruins Greatsword [Nebula],0,108,1,1,[0|0],90000011,0,10,0,12,0,[0|0]
600000109,Ruins Greatsword [2Wave],0,109,1,1,[0|0],90000012,0,20,0,12,0,[0|0]
600000110,Ruins Greatsword [EpicAura],0,110,1,1,[0|0],4680260,0,0,0,12,0,[0|0]
600000111,Ruins Greatsword [3Pillar EX],0,111,1,1,[0|0],90000013,0,30,0,12,0,[0|0]
600000112,Ruins Greatsword [Pull EX],0,112,1,1,[0|0],90000014,0,20,0,12,0,[0|0]
600000113,Ruins Greatsword [Pull EX],0,113,1,1,[0|0],90000015,0,0,0,12,0,[0|0]
600000114,Ruins Greatsword [Pull EX],0,114,1,1,[0|0],90000016,0,0,0,12,0,[0|0]
600000115,Ruins Greatsword [Pull EX],0,115,1,1,[0|0],90000017,0,0,0,12,0,[0|0]
600000116,Ruins Greatsword [Pull EX],0,116,1,1,[0|0],90000018,0,0,0,12,0,[0|0]
600000117,Ruins Greatsword [Pull EX],0,117,1,1,[0|0],90000019,0,0,0,12,0,[0|0]
600000118,Ruins Greatsword [Gravity Slam],0,118,1,1,[0|0],90000020,0,25,0,12,0,[0|0]
600000119,Ruins Greatsword [1BossWaveSFX],0,119,1,1,[0|0],90000021,0,5,0,12,0,[0|0]
600000120,Ruins Greatsword [2BossWaveSFX],0,120,1,1,[0|0],90000022,0,5,0,12,0,[0|0]
600000121,Ruins Greatsword [3BossWaveSFX],0,121,1,1,[0|0],90000023,0,5,0,12,0,[0|0]
600000122,Ruins Greatsword [4BossWaveSFX],0,122,1,1,[0|0],90000024,0,5,0,12,0,[0|0]
600000123,Ruins Greatsword [EpicAura EX],0,123,1,1,[0|0],90000025,0,0,0,12,0,[0|0]
600000124,Ruins Greatsword [BossWaveAtk2],0,124,1,1,[0|0],90000026,0,5,0,12,0,[0|0]
600000125,Ruins Greatsword [BossWaveAtk3],0,125,1,1,[0|0],90000027,0,5,0,12,0,[0|0]
600000126,Ruins Greatsword [Collapsing Stars],0,126,1,1,[0|0],90000028,0,15,0,12,0,[0|0]
600000127,Ruins Greatsword [Gravity Bolt],0,127,1,1,[0|0],90000038,0,15,0,12,0,[0|0]
600000128,Ruins Greatsword [Gravity Bolt],0,128,1,1,[0|0],90000031,0,0,0,12,0,[0|0]
600000129,Ruins Greatsword [Bastard's Stars],0,129,1,1,[0|0],90000032,0,5,0,12,0,[0|0]
600000130,Ruins Greatsword [Bastard's Stars],0,130,1,1,[0|0],90000036,0,5,0,12,0,[0|0]
600000131,Ruins Greatsword [Weak Gravity Slam],0,131,1,1,[0|0],90000037,0,15,0,12,0,[0|0]
600000132,Ruins Greatsword [Void Beam],0,132,1,1,[0|0],90000043,0,15,0,12,0,[0|0]
600000133,Ruins Greatsword [VertNebula],0,133,1,1,[0|0],90000044,0,15,0,12,0,[0|0]
600000134,Ruins Greatsword [1PillarNoFlip],1,134,1,1,[0|0],90000045,0,15,0,12,0,[0|0]
600000135,Ruins Greatsword [Gravity Wave],1,135,1,1,[0|0],90000047,0,15,0,12,0,[0|0]
600000136,Ruins Greatsword [Devastation of the Naturalborn],1,136,1,1,[0|0],90000048,0,30,0,12,0,[0|0]
600000137,Ruins Greatsword [DevastationLight],1,137,1,1,[0|0],90000049,0,5,0,12,0,[0|0]
600000138,Ruins Greatsword [DevastationLight],1,138,1,1,[0|0],90000051,0,5,0,12,0,[0|0]
600000139,Ruins Greatsword [DevastationHeavy],1,139,1,1,[0|0],90000076,0,50,0,12,0,[0|0]
600000140,Ruins Greatsword [PillarRandom],1,140,1,1,[0|0],90000079,0,1,0,12,0,[0|0]
