ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
600000238,Sword of Night and Flame [MagicStunJR2],0,100,1,1,[0|0],90000092,0,15,0,12,0,[0|0]
600000239,Sword of Night and Flame [MoonsplosionJR2],0,100,1,1,[0|0],90000091,0,15,0,12,0,[0|0]
600000240,Sword of Night and Flame [Fireball],0,100,1,1,[0|0],90000090,0,15,0,12,0,[0|0]
600000241,Sword of Night and Flame [Star Blast],0,100,1,1,[0|0],90000084,0,15,0,12,0,[0|0]
600000242,Sword of Night and Flame [Flame Pillar],0,101,1,1,[0|0],90000085,0,15,0,12,0,[0|0]
600000243,Sword of Night and Flame [Magic Wave],0,102,1,1,[0|0],90000086,0,15,0,12,0,[0|0]
600000244,Sword of Night and Flame [Ember],0,103,1,1,[0|0],90000087,0,8,0,12,0,[0|0]
600000245,Sword of Night and Flame [Flame Wave],0,132,1,1,[0|0],90000088,0,15,0,12,0,[0|0]
600000250,Sword of Night and Flame [Magic Stun],0,109,1,1,[0|0],90000095,0,2,0,12,0,[0|0]
600000251,Sword of Night and Flame [MagVertSlash],0,110,1,1,[0|0],90000096,0,2,0,12,0,[0|0]
600000252,Sword of Night and Flame [FlmDiagSlash],0,111,1,1,[0|0],90000098,0,2,0,12,0,[0|0]
600000253,Sword of Night and Flame [FlmDiagSlash2],0,112,1,1,[0|0],90000099,0,2,0,12,0,[0|0]
600000254,Sword of Night and Flame [Firestorm],0,113,1,1,[0|0],90000101,0,0,0,12,0,[0|0]
600000255,Sword of Night and Flame [MagHorzSlash3],0,114,1,1,[0|0],90000106,0,5,0,12,0,[0|0]
600000256,Sword of Night and Flame [Flame Wave EX],0,115,1,1,[0|0],90000108,0,5,0,12,0,[0|0]
600000257,Sword of Night and Flame [Flame Trail],0,116,1,1,[0|0],90000109,0,0,0,12,0,[0|0]
600000258,Sword of Night and Flame [FlmDiagSlashEX],0,117,1,1,[0|0],90000110,0,10,0,12,0,[0|0]
600000259,Sword of Night and Flame [MagArrow],0,118,1,1,[0|0],90000112,0,10,0,12,0,[0|0]
600000260,Sword of Night and Flame [Moonsplosion],0,119,1,1,[0|0],90000114,0,10,0,12,0,[0|0]
600000261,Sword of Night and Flame [Star Blast Random],0,120,1,1,[0|0],90000115,0,0,0,12,0,[0|0]
600000262,Sword of Night and Flame [InvMagAttk],0,121,1,1,[0|0],90000120,0,0,0,12,0,[0|0]
600000263,Sword of Night and Flame [Firesplosion],0,122,1,1,[0|0],90000122,0,10,0,12,0,[0|0]
600000264,Sword of Night and Flame [Fireball Random],0,123,1,1,[0|0],90000123,0,0,0,12,0,[0|0]
600000265,Sword of Night and Flame [InvFireAttk],0,124,1,1,[0|0],90000128,0,0,0,12,0,[0|0]
600000266,Sword of Night and Flame [FlmVertSlash],0,125,1,1,[0|0],90000131,0,0,0,12,0,[0|0]
600000267,Sword of Night and Flame [Firesplosion2],0,126,1,1,[0|0],90000132,0,10,0,12,0,[0|0]
600000268,Sword of Night and Flame [Moonsplosion2],0,127,1,1,[0|0],90000133,0,10,0,12,0,[0|0]
600000269,Sword of Night and Flame [Sun],0,128,1,1,[0|0],90000134,0,0,0,12,0,[0|0]
600000270,Sword of Night and Flame [Moon],0,129,1,1,[0|0],90000135,0,0,0,12,0,[0|0]
600000271,Sword of Night and Flame [MagFlame],0,130,1,1,[0|0],90000121,0,0,0,12,0,[0|0]
600000272,Sword of Night and Flame [Firegust],0,131,1,1,[0|0],90000129,0,0,0,12,0,[0|0]
600000273,Sword of Night and Flame [Flame Wave2],0,132,1,1,[0|0],90000139,0,15,0,12,0,[0|0]
600000274,Sword of Night and Flame [LilMagSplo],0,133,1,1,[0|0],90000140,0,0,0,12,0,[0|0]
600000275,Sword of Night and Flame [FlmVertSlash],0,134,1,1,[0|0],90000141,0,0,0,12,0,[0|0]
