ID,Name,variationId,behaviorJudgeId,ezStateBehaviorType_old,refType,pad2,refId,consumeSA,stamina,consumeDurability,category,heroPoint,pad1,
900000170,[VG] Deflect,0,170,1,1,[0|0],2840,0,0,0,12,0,[0|0]
900000171,[VG] Deflect - Counter Bullet,0,171,1,1,[0|0],2842,0,0,0,12,0,[0|0]
900000172,,0,172,1,1,[0|0],2616,0,0,0,1,0,[0|0]
900000173,,0,173,1,1,[0|0],2005,0,0,0,1,0,[0|0]
900000174,[VG] Disc Angled Up Left,0,174,1,1,[0|0],900000180,0,0,0,1,0,[0|0]
900000175,[VG] WOTG Explosion,0,175,1,1,[0|0],10641000,0,30,0,1,0,[0|0]
900000176,[VG] Horizontal Disc,0,173,1,1,[0|0],900000170,0,0,0,1,0,[0|0]
900000177,[VG] Golden Order Greatsword Explosion,0,177,1,1,[0|0],2005,0,0,0,1,0,[0|0]
900000178,[VG] Disc Angled Up Right,0,178,1,1,[0|0],900000160,0,0,0,1,0,[0|0]
900000179,,0,179,1,1,[0|0],10670000,0,0,0,1,0,[0|0]
